相对强度 运行#3	位置 (米 m) 运行#3
0.031219	0.0038266
0.031326	0.0038266
0.033157	0.0038266
0.032654	0.0038266
0.032654	0.0038266
0.034073	0.0038266
0.031631	0.0038266
0.032043	0.0038266
0.031219	0.0038266
0.033875	0.0038266
0.034576	0.0038266
0.033966	0.0038266
0.033051	0.0038266
0.033768	0.0038266
0.033157	0.0038266
0.032440	0.0038266
0.032349	0.0038266
0.033356	0.0038266
0.033463	0.0038266
0.033661	0.0038266
0.030823	0.0038266
0.033661	0.0038266
0.031830	0.0038266
0.033569	0.0038266
0.032959	0.0038266
0.033264	0.0038266
0.034180	0.0038266
0.033966	0.0038266
0.033569	0.0038266
0.031433	0.0038266
0.034180	0.0038266
0.032852	0.0038266
0.033264	0.0038266
0.033966	0.0038266
0.032852	0.0038266
0.033768	0.0038266
0.032959	0.0038266
0.034180	0.0038266
0.032440	0.0038266
0.034180	0.0038266
0.033966	0.0038266
0.033768	0.0038266
0.031830	0.0038266
0.032043	0.0038266
0.031219	0.0038266
0.030304	0.0038266
0.033875	0.0038266
0.033966	0.0038266
0.031738	0.0038266
0.034271	0.0038266
0.033051	0.0038266
0.031830	0.0038266
0.032043	0.0038266
0.031937	0.0038266
0.031433	0.0038266
0.034271	0.0038266
0.032959	0.0038266
0.031738	0.0038266
0.033875	0.0038266
0.033463	0.0038266
0.032349	0.0038266
0.033569	0.0038266
0.033264	0.0038266
0.033463	0.0038266
0.032654	0.0038266
0.033569	0.0038266
0.034073	0.0038266
0.033356	0.0038266
0.032440	0.0038266
0.033966	0.0038266
0.032654	0.0038266
0.033966	0.0038266
0.031631	0.0038266
0.032043	0.0038266
0.032440	0.0038266
0.035294	0.0038266
0.031830	0.0038266
0.032242	0.0038266
0.033356	0.0038266
0.034271	0.0038266
0.031326	0.0038266
0.033966	0.0038266
0.032959	0.0038266
0.035187	0.0038266
0.032745	0.0038266
0.032043	0.0038266
0.031433	0.0038266
0.032043	0.0038266
0.031326	0.0038266
0.033356	0.0038266
0.034073	0.0038266
0.032852	0.0038266
0.033157	0.0038266
0.033768	0.0038266
0.033264	0.0038266
0.034180	0.0038266
0.031937	0.0038266
0.032242	0.0038266
0.034790	0.0038266
0.033569	0.0038266
0.033356	0.0038266
0.033463	0.0038266
0.031830	0.0038266
0.033463	0.0038266
0.032043	0.0038266
0.031326	0.0038266
0.034988	0.0038266
0.034271	0.0038266
0.031830	0.0038266
0.031433	0.0038266
0.034180	0.0038266
0.034576	0.0038266
0.031525	0.0038266
0.034073	0.0038266
0.032745	0.0038266
0.032745	0.0038266
0.030914	0.0038266
0.033264	0.0038266
0.032242	0.0038266
0.033875	0.0038266
0.031830	0.0038266
0.031219	0.0038266
0.033463	0.0038266
0.033875	0.0038266
0.031219	0.0038266
0.033157	0.0038266
0.033463	0.0038266
0.033966	0.0038266
0.031128	0.0038266
0.033264	0.0038266
0.032852	0.0038266
0.033768	0.0038266
0.031830	0.0038266
0.031326	0.0038266
0.034271	0.0038266
0.032547	0.0038266
0.032959	0.0038266
0.033264	0.0038266
0.031433	0.0038266
0.034378	0.0038266
0.033264	0.0038266
0.032349	0.0038266
0.034180	0.0038266
0.033768	0.0038266
0.032654	0.0038266
0.033264	0.0038266
0.031021	0.0038266
0.034790	0.0038266
0.033463	0.0038266
0.030304	0.0038266
0.032745	0.0038266
0.032135	0.0038266
0.032547	0.0038266
0.032043	0.0038266
0.033264	0.0038266
0.034180	0.0038266
0.034180	0.0038266
0.033356	0.0038266
0.031830	0.0038266
0.032654	0.0038266
0.032654	0.0038266
0.033966	0.0038266
0.031326	0.0038266
0.034485	0.0038266
0.031219	0.0038266
0.033875	0.0038266
0.033569	0.0038266
0.034790	0.0038266
0.032547	0.0038266
0.033356	0.0038266
0.033569	0.0038266
0.031937	0.0038266
0.033463	0.0038266
0.032959	0.0038266
0.033966	0.0038266
0.034485	0.0038266
0.033463	0.0038266
0.034073	0.0038266
0.031738	0.0038266
0.032745	0.0038266
0.033875	0.0038266
0.033157	0.0038266
0.034073	0.0038266
0.032959	0.0038266
0.033661	0.0038266
0.031631	0.0038266
0.033356	0.0038266
0.031525	0.0038266
0.034378	0.0038266
0.033356	0.0038266
0.033569	0.0038266
0.032349	0.0038266
0.033157	0.0038266
0.034271	0.0038266
0.034378	0.0038266
0.034271	0.0038266
0.032654	0.0038266
0.034271	0.0038266
0.034683	0.0038266
0.032242	0.0038266
0.033569	0.0038266
0.032745	0.0038266
0.033966	0.0038266
0.033264	0.0038266
0.033356	0.0038266
0.034378	0.0038266
0.031937	0.0038266
0.031433	0.0038266
0.034180	0.0038266
0.032242	0.0038266
0.034378	0.0038266
0.032654	0.0038266
0.031830	0.0038266
0.033875	0.0038266
0.033569	0.0038266
0.034378	0.0038266
0.030914	0.0038266
0.034485	0.0038266
0.032135	0.0038266
0.034882	0.0038266
0.033157	0.0038266
0.033463	0.0038266
0.032349	0.0038266
0.033157	0.0038266
0.031631	0.0038266
0.032547	0.0038266
0.034882	0.0038266
0.033875	0.0038266
0.032242	0.0038266
0.032135	0.0038266
0.036316	0.0038266
0.036316	0.0038266
0.031525	0.0038266
0.032349	0.0038266
0.034485	0.0038266
0.033569	0.0038266
0.032440	0.0038266
0.031219	0.0038266
0.035095	0.0038266
0.034882	0.0038266
0.030106	0.0038266
0.033157	0.0038266
0.036011	0.0038266
0.035095	0.0038266
0.031631	0.0038266
0.033051	0.0038266
0.035904	0.0038266
0.035599	0.0038266
0.033051	0.0038266
0.031219	0.0038266
0.034271	0.0038464
0.032242	0.0038464
0.031433	0.0038661
0.032242	0.0039055
0.034683	0.0039844
0.033463	0.0040633
0.031219	0.0041620
0.032959	0.0042606
0.036209	0.0043789
0.036407	0.0044973
0.032440	0.0046354
0.031631	0.0047537
0.035095	0.0049115
0.032745	0.0050693
0.031128	0.0052074
0.032852	0.0053455
0.034271	0.0054638
0.036713	0.0055427
0.029999	0.0056216
0.033051	0.0056808
0.033463	0.0057400
0.033768	0.0057991
0.033264	0.0058386
0.033157	0.0058780
0.034378	0.0059175
0.034271	0.0059767
0.033157	0.0060161
0.033569	0.0060556
0.033569	0.0061147
0.033157	0.0061542
0.031631	0.0062134
0.034180	0.0062528
0.035706	0.0063120
0.034180	0.0063712
0.031525	0.0064106
0.033768	0.0064698
0.032440	0.0065290
0.035599	0.0065684
0.033661	0.0066079
0.034378	0.0066473
0.035599	0.0066868
0.033356	0.0067262
0.032349	0.0067657
0.034378	0.0068051
0.033356	0.0068446
0.034180	0.0069037
0.033768	0.0069629
0.033051	0.0070221
0.034790	0.0070813
0.034882	0.0071602
0.033875	0.0072391
0.032440	0.0073180
0.035095	0.0073771
0.033264	0.0074560
0.033051	0.0075349
0.033264	0.0075941
0.032242	0.0076730
0.034378	0.0077322
0.031525	0.0077914
0.033463	0.0078308
0.034882	0.0078703
0.034790	0.0079097
0.030609	0.0079492
0.032852	0.0080083
0.032547	0.0080478
0.032547	0.0080872
0.032959	0.0081464
0.030914	0.0081859
0.033966	0.0082253
0.033875	0.0082648
0.033051	0.0083239
0.031937	0.0083634
0.032547	0.0084028
0.035599	0.0084423
0.033661	0.0084620
0.033768	0.0085015
0.034988	0.0085212
0.033966	0.0085409
0.033875	0.0085606
0.033966	0.0085606
0.034485	0.0085804
0.035400	0.0086001
0.033157	0.0086395
0.032349	0.0086593
0.035095	0.0086790
0.032745	0.0086987
0.033157	0.0086987
0.034485	0.0087184
0.035904	0.0087184
0.033875	0.0087184
0.032959	0.0087184
0.034271	0.0087382
0.033463	0.0087579
0.034576	0.0087973
0.032654	0.0088368
0.034485	0.0088762
0.034988	0.0089354
0.033157	0.0089551
0.032745	0.0089946
0.032242	0.0090340
0.034790	0.0090735
0.033569	0.0091129
0.034882	0.0091524
0.031937	0.0091918
0.032852	0.0092313
0.034988	0.0092510
0.034576	0.0092905
0.034485	0.0093496
0.033661	0.0093891
0.035706	0.0094285
0.033661	0.0094680
0.034378	0.0095272
